win,lose,probability
Chicago Bulls,Portland Trail Blazers,0.5175551231157236
Charlotte Hornets,Dallas Mavericks,0.52166380722198524
Golden State Warriors,Indiana Pacers,0.84615233592471029
Boston Celtics,Houston Rockets,0.51938576052754692
Utah Jazz,Los Angeles Lakers,0.73627577852691806
San Antonio Spurs,Milwaukee Bucks,0.88801651309008034
Memphis Grizzlies,New Orleans Pelicans,0.50267907824714997
Denver Nuggets,Philadelphia 76ers,0.7431329872065342
Cleveland Cavaliers,Toronto Raptors,0.54615825064531465
Detroit Pistons,Chicago Bulls,0.62216638436410809
Memphis Grizzlies,Philadelphia 76ers,0.88035762978645105
Miami Heat,New York Knicks,0.83023817672125744
San Antonio Spurs,Minnesota Timberwolves,0.88087729532754044
Utah Jazz,Phoenix Suns,0.8402986703848474
Washington Wizards,Orlando Magic,0.67477255971285932
Atlanta Hawks,Miami Heat,0.55677461810601325
Denver Nuggets,Brooklyn Nets,0.62973326440188382
Charlotte Hornets,Detroit Pistons,0.65283110480809647
Dallas Mavericks,Sacramento Kings,0.72043584329724242
Houston Rockets,Los Angeles Lakers,0.88442650022690805
Golden State Warriors,Los Angeles Clippers,0.71988670003579358
Portland Trail Blazers,Milwaukee Bucks,0.67074727732131434
Cleveland Cavaliers,New York Knicks,0.83939226682969104
Boston Celtics,Orlando Magic,0.63959674674628186
Indiana Pacers,Phoenix Suns,0.74815294168341784
San Antonio Spurs,Chicago Bulls,0.78394785705264025
Portland Trail Blazers,Memphis Grizzlies,0.58656714131900922
New Orleans Pelicans,Philadelphia 76ers,0.8374696051454561
Toronto Raptors,Minnesota Timberwolves,0.85438190350153342
Golden State Warriors,Utah Jazz,0.81295533273887699
Washington Wizards,Denver Nuggets,0.70493866743037858
Toronto Raptors,Boston Celtics,0.53111039888771416
Charlotte Hornets,Orlando Magic,0.76179205446824194
Cleveland Cavaliers,Miami Heat,0.77242654379713738
Dallas Mavericks,Indiana Pacers,0.51894308370408448
Los Angeles Lakers,Phoenix Suns,0.54984084008299461
Atlanta Hawks,Milwaukee Bucks,0.72365473883665454
Detroit Pistons,Minnesota Timberwolves,0.61589177305098097
Oklahoma City Thunder,Houston Rockets,0.79862348648249903
Sacramento Kings,New York Knicks,0.64159574335209024
Miami Heat,Chicago Bulls,0.53024302110768606
Cleveland Cavaliers,Charlotte Hornets,0.76803408710329957
Houston Rockets,Dallas Mavericks,0.61166821785405079
Indiana Pacers,Portland Trail Blazers,0.56443293107748815
Los Angeles Clippers,New Orleans Pelicans,0.85353676514862031
Golden State Warriors,Memphis Grizzlies,0.87889781747594531
Orlando Magic,Denver Nuggets,0.61788640216473378
San Antonio Spurs,Brooklyn Nets,0.96035789142837791
Utah Jazz,Sacramento Kings,0.72711969487461547
Washington Wizards,Milwaukee Bucks,0.73057667843843288
Detroit Pistons,Philadelphia 76ers,0.9184489774169361
New York Knicks,Los Angeles Lakers,0.55916460770663523
Golden State Warriors,Minnesota Timberwolves,0.90669514232801984
Oklahoma City Thunder,Boston Celtics,0.72041609999978806
Phoenix Suns,New Orleans Pelicans,0.50978819743147796
Dallas Mavericks,Denver Nuggets,0.7253435535507109
Houston Rockets,Brooklyn Nets,0.86570614274528879
Indiana Pacers,Charlotte Hornets,0.51074417318666931
Los Angeles Clippers,Portland Trail Blazers,0.66559805806183425
Miami Heat,Washington Wizards,0.68748223283724585
Sacramento Kings,Los Angeles Lakers,0.80574821901970306
Toronto Raptors,Milwaukee Bucks,0.86861619572186999
Atlanta Hawks,Orlando Magic,0.75399228197991774
Chicago Bulls,Minnesota Timberwolves,0.71486458928878227
Cleveland Cavaliers,Memphis Grizzlies,0.89175651812658463
Golden State Warriors,New Orleans Pelicans,0.91200257059121737
Phoenix Suns,New York Knicks,0.50615585567607557
Portland Trail Blazers,Oklahoma City Thunder,0.50220845437647843
Brooklyn Nets,Los Angeles Lakers,0.62886271570966945
Dallas Mavericks,Detroit Pistons,0.57420420108709525
Houston Rockets,Sacramento Kings,0.72154118160007097
Cleveland Cavaliers,Memphis Grizzlies,0.81083784908843748
Miami Heat,Indiana Pacers,0.61630786131966375
Los Angeles Clippers,Orlando Magic,0.6824805954815657
Toronto Raptors,Philadelphia 76ers,0.92346400630729653
San Antonio Spurs,Boston Celtics,0.77666166949247917
Oklahoma City Thunder,Utah Jazz,0.69457986775714686
Charlotte Hornets,Washington Wizards,0.54659102807455473
Portland Trail Blazers,Denver Nuggets,0.65196664601916643
Golden State Warriors,New York Knicks,0.94364859066647777
Chicago Bulls,Milwaukee Bucks,0.57166743218208982
Indiana Pacers,New Orleans Pelicans,0.68130261934609071
San Antonio Spurs,Phoenix Suns,0.91638289626694081
Boston Celtics,Charlotte Hornets,0.56109757784343672
Chicago Bulls,Milwaukee Bucks,0.73856368133608086
Houston Rockets,New Orleans Pelicans,0.7701656094574626
Memphis Grizzlies,Sacramento Kings,0.61475696039612926
Miami Heat,Los Angeles Clippers,0.53082087830031899
Orlando Magic,Brooklyn Nets,0.79697314958784804
Los Angeles Lakers,Philadelphia 76ers,0.50097572259983791
Toronto Raptors,Atlanta Hawks,0.66137209820000686
Utah Jazz,Dallas Mavericks,0.61828340465460963
Washington Wizards,Detroit Pistons,0.54954398508891356
Atlanta Hawks,Charlotte Hornets,0.55064125387596252
Cleveland Cavaliers,Los Angeles Lakers,0.9648887495977343
Denver Nuggets,New York Knicks,0.60636157543475044
Detroit Pistons,Indiana Pacers,0.50554301387648404
Golden State Warriors,Portland Trail Blazers,0.85301013910603773
Houston Rockets,Minnesota Timberwolves,0.60421573549119278
Oklahoma City Thunder,Phoenix Suns,0.93441795667645489
Dallas Mavericks,Sacramento Kings,0.72043584329724242
Utah Jazz,Memphis Grizzlies,0.51973516626243432
Miami Heat,Boston Celtics,0.57811031505714927
Toronto Raptors,Orlando Magic,0.72060558245032424
Brooklyn Nets,Philadelphia 76ers,0.54374299920995584
San Antonio Spurs,New Orleans Pelicans,0.92643302353095347
Los Angeles Clippers,Washington Wizards,0.59263142216748987
Chicago Bulls,Detroit Pistons,0.55966303462334188
Dallas Mavericks,Denver Nuggets,0.57647997998408895
Indiana Pacers,Washington Wizards,0.62714075207665543
Minnesota Timberwolves,Phoenix Suns,0.70179216408525247
Oklahoma City Thunder,Atlanta Hawks,0.71258797946569885
Charlotte Hornets,Los Angeles Lakers,0.91388490073204443
Golden State Warriors,Utah Jazz,0.88383082508403921
San Antonio Spurs,Houston Rockets,0.77278381689578457
Los Angeles Clippers,Denver Nuggets,0.82200436978784841
Boston Celtics,Memphis Grizzlies,0.63699578917784172
Miami Heat,Orlando Magic,0.77349378208196362
Cleveland Cavaliers,Milwaukee Bucks,0.86023441663367839
Indiana Pacers,New York Knicks,0.64604812110519394
New Orleans Pelicans,Philadelphia 76ers,0.69628917880789321
Portland Trail Blazers,Sacramento Kings,0.61714363584817922
Toronto Raptors,Brooklyn Nets,0.93395252374971127
Atlanta Hawks,Minnesota Timberwolves,0.78045690923777655
Chicago Bulls,Washington Wizards,0.58201400772153566
Cleveland Cavaliers,Milwaukee Bucks,0.91542117963569802
Detroit Pistons,Memphis Grizzlies,0.68378498907112906
Oklahoma City Thunder,New Orleans Pelicans,0.84430637971713418
Houston Rockets,Phoenix Suns,0.6934894793119587
Portland Trail Blazers,Dallas Mavericks,0.78796815802493614
Utah Jazz,Sacramento Kings,0.72711969487461547
Golden State Warriors,Brooklyn Nets,0.95279765898602542
Indiana Pacers,Boston Celtics,0.51165193428966438
San Antonio Spurs,Los Angeles Clippers,0.66166655723209644
Miami Heat,Los Angeles Lakers,0.91891051837362236
New York Knicks,Orlando Magic,0.53805777321893744
Oklahoma City Thunder,Boston Celtics,0.62778472003390484
Charlotte Hornets,Chicago Bulls,0.70783062406824626
Cleveland Cavaliers,Brooklyn Nets,0.95859129347687777
Atlanta Hawks,Denver Nuggets,0.7065717550809999
Golden State Warriors,Detroit Pistons,0.8258358331019835
Los Angeles Clippers,Dallas Mavericks,0.73256931266415781
Houston Rockets,Memphis Grizzlies,0.53274354659440637
Washington Wizards,Milwaukee Bucks,0.61082219606516408
Minnesota Timberwolves,Sacramento Kings,0.54375093849143608
Miami Heat,New Orleans Pelicans,0.71042777751380481
Orlando Magic,Los Angeles Lakers,0.82331935322876371
Phoenix Suns,Philadelphia 76ers,0.78759665941827461
San Antonio Spurs,Portland Trail Blazers,0.59042102323485035
Toronto Raptors,Utah Jazz,0.6043196267393558
Golden State Warriors,Cleveland Cavaliers,0.55448499248303162
Los Angeles Clippers,Los Angeles Lakers,0.84574992102539293
Boston Celtics,New York Knicks,0.68148361510838784
Oklahoma City Thunder,Minnesota Timberwolves,0.88163058004384165
San Antonio Spurs,Chicago Bulls,0.8678157862615945
Charlotte Hornets,Brooklyn Nets,0.83046221105934204
Chicago Bulls,Indiana Pacers,0.50414441412043043
Cleveland Cavaliers,Detroit Pistons,0.73688239334875716
Houston Rockets,Phoenix Suns,0.836513663042315
Los Angeles Clippers,Denver Nuggets,0.82200436978784841
Atlanta Hawks,Minnesota Timberwolves,0.70946532604608359
Dallas Mavericks,New Orleans Pelicans,0.59549719083035701
Orlando Magic,Memphis Grizzlies,0.58280990530927179
Portland Trail Blazers,Toronto Raptors,0.60035781468049543
Sacramento Kings,Philadelphia 76ers,0.86624653813596464
Washington Wizards,Milwaukee Bucks,0.73057667843843288
Boston Celtics,Memphis Grizzlies,0.76082065829489898
Dallas Mavericks,Houston Rockets,0.58615919926464288
Utah Jazz,Los Angeles Lakers,0.73627577852691806
Oklahoma City Thunder,Miami Heat,0.61229148623675345
Atlanta Hawks,New York Knicks,0.81445023285707741
Chicago Bulls,Brooklyn Nets,0.85800156185256815
Denver Nuggets,Minnesota Timberwolves,0.55507178521537792
Detroit Pistons,Milwaukee Bucks,0.73964254838938392
Golden State Warriors,Toronto Raptors,0.76350598939200132
Los Angeles Clippers,New Orleans Pelicans,0.75217211246568105
Charlotte Hornets,Orlando Magic,0.64043374365013395
Portland Trail Blazers,Sacramento Kings,0.85942356986087431
San Antonio Spurs,Phoenix Suns,0.95056568234642669
Indiana Pacers,Washington Wizards,0.50609674736390342
Charlotte Hornets,Miami Heat,0.5672383590410498
Cleveland Cavaliers,Boston Celtics,0.76868068022289382
Dallas Mavericks,Los Angeles Lakers,0.72674214590385455
Oklahoma City Thunder,Memphis Grizzlies,0.79155499175951616
Toronto Raptors,Phoenix Suns,0.83500517834271593
Utah Jazz,Philadelphia 76ers,0.9247373970171785
Atlanta Hawks,Detroit Pistons,0.64313490229704084
Boston Celtics,Miami Heat,0.56720039886427842
Denver Nuggets,Philadelphia 76ers,0.84786048069745046
